flow_id,session_id,src_ip,dst_ip,src_port,dst_port,protocol,start_ts,end_ts,bytes_sent,bytes_received,packets_sent,packets_received,flow_direction,app_protocol,entropy_score
sess-0000-flow-0,sess-0000,10.44.131.63,130.8.186.60,10917,5902,TCP,2025-08-26T03:43:38,2025-08-26T04:18:36,128427,140345,8034,1655,egress,VNC,0.35961774995850004
sess-0000-flow-1,sess-0000,10.44.131.63,130.8.186.60,40957,5902,TCP,2025-08-26T03:43:38,2025-08-26T04:18:36,128427,140345,6154,2028,egress,VNC,0.32294646543414524
sess-0000-flow-2,sess-0000,10.44.131.63,130.8.186.60,24655,5900,TCP,2025-08-26T03:43:38,2025-08-26T04:18:36,128427,140345,8151,4985,egress,VNC,0.9280913143167948
sess-0001-flow-0,sess-0001,10.214.203.77,116.115.120.25,15462,5902,TCP,2025-08-31T08:44:56,2025-08-31T09:10:39,210574,199317,7842,2854,egress,VNC,0.5827313942906054
sess-0002-flow-0,sess-0002,10.172.86.30,88.80.186.159,33098,5901,TCP,2025-08-21T01:35:19,2025-08-21T01:59:58,62853,73144,9506,1743,egress,VNC,0.9370602640085288
sess-0002-flow-1,sess-0002,10.172.86.30,88.80.186.159,23211,5902,TCP,2025-08-21T01:35:19,2025-08-21T01:59:58,62853,73144,4125,3629,egress,VNC,0.674138536698417
sess-0002-flow-2,sess-0002,10.172.86.30,88.80.186.159,15493,5904,TCP,2025-08-21T01:35:19,2025-08-21T01:59:58,62853,73144,4912,508,egress,VNC,0.8850629274510264
sess-0002-flow-3,sess-0002,10.172.86.30,88.80.186.159,58994,5900,TCP,2025-08-21T01:35:19,2025-08-21T01:59:58,62853,73144,306,3366,egress,VNC,0.5686275652962649
sess-0002-flow-4,sess-0002,10.172.86.30,88.80.186.159,46752,5904,TCP,2025-08-21T01:35:19,2025-08-21T01:59:58,62853,73144,7561,1989,egress,VNC,0.5836823869715857
sess-0002-flow-5,sess-0002,10.172.86.30,88.80.186.159,56698,5901,TCP,2025-08-21T01:35:19,2025-08-21T01:59:58,62853,73144,1149,2641,egress,VNC,0.7202605139943934
