session_id,user_id,device_id,src_ip,dst_ip,src_geo,dst_geo,start_ts,end_ts,duration_seconds,total_bytes_in,total_bytes_out,avg_bytes_per_sec_out,num_clipboard_events,total_clipboard_bytes,num_screenshot_events,avg_frame_rate,num_file_transfer_events,total_files_transferred,total_files_size_bytes,processes_spawned_count,auth_method,device_trust_score,is_encrypted,label
sess-0000,figueroajohn,dev-41,10.44.131.63,130.8.186.60,Antarctica (the territory South of 60 deg S),Bermuda,2025-08-26T03:43:38,2025-08-26T04:18:36,2098,421036,385283,183.6429933269781,0,347.3917347068852,0,3.2904180608409974,1,0,1039.9653999569312,3,password,0.9748123357124425,True,normal
sess-0001,williamjohnson,dev-8,10.214.203.77,116.115.120.25,Sudan,Trinidad and Tobago,2025-08-31T08:44:56,2025-08-31T09:10:39,1543,199317,210574,136.47051198963058,0,3149.6929505913076,0,5.571172192068058,0,0,46766.651032480506,1,mfa,0.8228526016271813,True,normal
sess-0002,helenpeterson,dev-2,10.172.86.30,88.80.186.159,Bhutan,Guinea-Bissau,2025-08-21T01:35:19,2025-08-21T01:59:58,1479,512010,439974,297.4807302231237,0,2224.6518754610797,0,5.600340105889054,0,0,174640.3566368113,5,password,0.8490020020142511,False,normal
sess-0003,lindsay78,dev-48,10.193.207.66,82.195.110.208,Switzerland,Niue,2025-09-06T10:45:16,2025-09-06T11:01:47,991,186529,183397,185.06256306760847,0,3318.7504041466495,0,7.9344346830025865,0,0,276.87101879677374,4,password,0.543692782002168,True,normal
sess-0004,janetwilliams,dev-18,10.40.218.126,169.227.59.103,Hong Kong,Fiji,2025-09-07T07:21:09,2025-09-07T07:59:16,2287,1983236,1717259,750.8784433756013,0,260.8586621245479,2,6.854835899772805,0,0,27890.709695421367,0,password,0.8579503554487701,False,normal
sess-0005,francisco53,dev-16,192.168.36.142,138.243.239.128,Martinique,Saint Lucia,2025-09-11T18:16:42,2025-09-11T18:41:21,1479,109345,99205,67.07572684246112,0,164.0535624707612,0,3.806106436270022,1,0,102575.98652604065,2,password,0.8214693030899437,False,normal
sess-0006,stevennelson,dev-15,192.168.112.113,131.148.124.195,Denmark,Swaziland,2025-09-01T15:14:33,2025-09-01T15:17:59,206,555532,625006,3034.009708737864,0,843.5887715582617,1,5.59395310871683,0,0,178389.90691458498,2,password,0.5177315622279298,False,normal
sess-0007,richard13,dev-9,192.168.161.29,100.255.205.158,Indonesia,Turks and Caicos Islands,2025-08-22T07:25:00,2025-08-22T07:49:15,1455,289026,290251,199.48522336769759,1,2283.837461088857,1,6.641081743059297,0,0,50191.89135688191,1,kerberos,0.8347068256974456,True,normal
sess-0008,josephwright,dev-48,192.168.219.91,220.199.227.146,Guyana,Cyprus,2025-09-12T00:37:06,2025-09-12T01:07:11,1805,273374,306956,170.05872576177285,1,2404.7872564586887,1,3.6876047207299663,0,0,129309.51985753619,3,password,0.6772411343277916,False,normal
sess-0009,ddavis,dev-7,10.81.233.41,166.193.42.206,Nepal,Bahrain,2025-08-27T11:11:07,2025-08-27T11:26:42,935,1367527,1455306,1556.4770053475936,2,3099.77536907449,1,3.808143570473069,1,0,5349.8450717974665,1,password,0.8566419667983376,True,normal
sess-0010,dcarlson,dev-44,192.168.5.224,135.84.208.210,Pitcairn Islands,Turks and Caicos Islands,2025-09-08T10:18:13,2025-09-08T10:40:42,1349,156937,142853,105.89547813194959,1,2195.0736141716734,1,4.838579015297167,0,0,180615.4703081463,4,password,0.7303545830909529,True,normal
sess-0011,kayla51,dev-48,172.30.132.231,80.219.93.184,Macao,Serbia,2025-09-15T19:37:58,2025-09-15T19:57:15,1157,843020,716742,619.4831460674158,2,31.902341881742096,4,4.4722444603479286,0,1,9285.93081478774,4,kerberos,0.8636575859853945,True,normal
sess-0012,harrellkenneth,dev-35,192.168.101.215,106.149.180.113,Mauritius,Zimbabwe,2025-08-29T10:09:42,2025-08-29T10:25:55,973,194626,173195,178.0010277492292,3,1425.785605224856,2,6.978963347180505,1,0,4934.801959368028,1,password,0.6303976374640886,True,normal
sess-0013,georgetracy,dev-6,10.157.114.125,115.218.156.42,Turkey,Montenegro,2025-09-15T11:55:26,2025-09-15T12:20:42,1516,1118389,1314478,867.0699208443272,0,3009.8389820328657,0,6.114452379095001,0,0,37895.447031276046,4,password,0.6637825143803656,True,normal
sess-0014,dennislisa,dev-38,192.168.65.188,138.145.112.170,Estonia,Marshall Islands,2025-08-24T13:46:33,2025-08-24T14:08:49,1336,2025353,2329820,1743.877245508982,0,589.8362657312432,2,4.399669484729714,1,0,47301.523601871755,1,password,0.5636927752958446,True,normal
sess-0015,ibrandt,dev-28,192.168.159.153,55.230.31.28,Kazakhstan,United Arab Emirates,2025-09-19T04:45:01,2025-09-19T05:12:29,1648,121876,127034,77.08373786407768,1,94.95003959405513,1,5.515681292900439,1,0,3659.1218128120418,1,password,0.7490028054969206,True,normal
sess-0016,omartinez,dev-3,10.117.209.153,128.117.208.149,Barbados,Russian Federation,2025-09-14T21:02:12,2025-09-14T21:39:04,2212,453314,474953,214.71654611211574,2,147.21875006086557,0,3.0911091282577488,0,0,3692.481347321351,2,kerberos,0.8293880613164536,False,normal
sess-0017,carlosjohnson,dev-2,172.23.157.187,125.241.16.127,Croatia,Mauritius,2025-08-23T14:36:36,2025-08-23T15:14:43,2287,757974,830371,363.08307826847397,0,2844.17309901911,2,4.860090428963916,0,0,133506.89621996632,4,mfa,0.8752000022034242,True,normal
sess-0018,esanchez,dev-6,172.19.26.14,150.172.207.183,Jamaica,Isle of Man,2025-08-27T04:10:18,2025-08-27T04:37:35,1637,282783,239642,146.3909590714722,1,2046.4232046397944,1,4.64332272684958,0,1,77941.55159243708,0,password,0.8937709741420631,True,normal
sess-0019,nuneztracey,dev-14,10.173.185.18,161.191.144.226,Egypt,Congo,2025-09-12T10:08:25,2025-09-12T10:44:33,2168,1445638,1720079,793.394372693727,0,2472.3629499455483,0,7.1093002964517815,0,0,4432.693388890335,3,mfa,0.8060800761205874,True,normal
sess-0020,ltaylor,dev-15,172.18.105.141,19.34.17.124,Australia,Pakistan,2025-08-29T23:37:35,2025-08-30T00:04:33,1618,434878,440399,272.18726823238563,0,259.05355966703866,0,6.246051510580318,0,0,163736.01045511884,1,kerberos,0.831483578861713,False,normal
sess-0021,novaksara,dev-33,10.248.165.244,28.213.82.112,United Kingdom,Bahamas,2025-09-15T23:50:52,2025-09-16T00:43:37,3165,716125,664125,209.83412322274881,0,2022.7567063204292,2,4.4048159479611515,2,0,16243.670994756507,1,password,0.7547766779185421,True,normal
sess-0022,ysmith,dev-39,172.30.143.109,63.37.159.222,Cape Verde,Comoros,2025-08-28T17:50:00,2025-08-28T18:00:52,652,715487,635696,974.9938650306749,1,4952.680636414213,3,5.091215181453094,1,0,1336.0408433255682,3,password,0.8474083059817517,True,normal
sess-0023,tanyariley,dev-2,192.168.160.144,94.131.179.250,Macao,Uruguay,2025-09-04T03:42:24,2025-09-04T03:56:27,843,199841,242953,288.20047449584814,4,3000.899768742422,2,5.252720676550467,0,1,12980.186270924185,3,kerberos,0.8755980267159307,True,normal
sess-0024,brianromero,dev-36,10.34.203.196,143.13.148.165,Iraq,British Indian Ocean Territory (Chagos Archipelago),2025-09-15T12:49:26,2025-09-15T13:29:41,2415,502180,522347,216.29275362318842,0,59.81188389292991,2,4.064820807544553,0,0,21584.363075753463,2,mfa,0.9831089398743724,True,normal
sess-0025,bethwilliams,dev-13,10.161.251.58,205.162.82.165,Paraguay,Saint Barthelemy,2025-09-17T09:44:13,2025-09-17T09:57:10,777,411667,418508,538.6203346203346,1,816.3656337418236,1,3.3793166405433195,0,0,8237.995077833648,1,password,0.8827342491706841,True,normal
sess-0026,josephanderson,dev-46,192.168.161.225,204.148.145.124,Algeria,Kuwait,2025-09-05T00:04:04,2025-09-05T00:28:45,1481,174344,200211,135.18636056718432,0,263.283125234386,1,4.8213493052403775,0,0,2005.2865050007713,2,kerberos,0.9123335188803069,True,normal
sess-0027,jonesjason,dev-42,172.27.43.20,215.209.45.140,Heard Island and McDonald Islands,Finland,2025-09-17T01:57:08,2025-09-17T02:24:22,1634,46364,44270,27.093023255813954,0,1271.5849916844393,1,4.262184721720104,0,1,37976.47511765345,0,password,0.6742996059532449,True,normal
sess-0028,tbass,dev-45,172.16.64.22,147.41.5.122,Venezuela,Panama,2025-08-28T09:48:20,2025-08-28T10:07:43,1163,214085,229952,197.7231298366294,0,4530.3396350833145,2,5.492210994645286,0,0,44196.15289356868,2,password,0.9619533047988078,False,normal
sess-0029,josephpreston,dev-35,192.168.139.113,126.107.215.166,Saint Barthelemy,Guam,2025-08-25T18:42:15,2025-08-25T18:58:15,960,653086,776824,809.1916666666667,0,578.1644275612487,0,3.932835120256529,0,0,113537.57246779576,0,password,0.8404186367515457,False,normal
sess-0030,william40,dev-27,10.141.169.7,85.88.253.133,Sierra Leone,Bulgaria,2025-08-30T15:13:31,2025-08-30T15:45:53,1942,525298,581622,299.49639546858907,0,2262.1380581002927,2,4.399895468301421,0,0,19554.39065596163,2,password,0.5880708184376151,True,normal
sess-0031,joycearnold,dev-15,172.19.148.120,73.138.26.254,Mayotte,Argentina,2025-09-02T11:13:02,2025-09-02T11:36:30,1408,433569,463888,329.46590909090907,0,134.08718596613096,1,7.049372229273175,0,0,71403.31114141044,2,password,0.8202851014063727,True,normal
sess-0032,russellwilliams,dev-29,172.17.70.209,214.184.242.109,Pitcairn Islands,Egypt,2025-09-07T16:11:06,2025-09-07T16:52:46,2500,488369,570586,228.2344,1,366.00872748138084,0,7.07287360115691,0,0,22223.070083903407,3,password,0.7400021571936869,True,normal
sess-0033,kimberly69,dev-38,192.168.121.53,213.170.105.186,Turkmenistan,Isle of Man,2025-08-25T17:46:49,2025-08-25T18:14:25,1656,1025176,1007623,608.4679951690821,1,254.59633327673293,2,3.6963603633169364,0,0,38120.69290245141,2,password,0.9283267353535656,True,normal
sess-0034,jillcook,dev-18,172.23.240.252,120.221.97.61,Hong Kong,Tunisia,2025-08-21T22:53:43,2025-08-21T23:20:14,1591,1143987,1013721,637.1596480201131,0,3837.4276243695363,0,4.986436452801836,0,0,13019.651122237547,4,password,0.823953038563026,True,normal
sess-0035,dwalker,dev-1,172.23.72.118,115.23.15.67,Iran,Greenland,2025-08-22T15:08:04,2025-08-22T15:44:36,2192,360464,418492,190.91788321167883,0,1443.8286147444271,1,7.360619544720757,1,0,127873.46789228132,1,password,0.451906007302628,False,normal
sess-0036,rasmussenjoshua,dev-49,192.168.169.140,204.236.56.75,Turkey,Eritrea,2025-09-03T06:36:47,2025-09-03T06:56:53,1206,465779,390121,323.48341625207297,1,5194.358663092789,2,4.9950135193506515,0,0,81190.39555330893,0,password,0.9896670596632896,True,normal
sess-0037,benjamin96,dev-11,172.26.9.165,19.179.94.203,Hungary,United Arab Emirates,2025-08-29T10:03:49,2025-08-29T10:30:27,1598,2089237,2347875,1469.2584480600751,0,310.9272001154807,0,5.4918388636973985,0,1,43445.1191892636,1,kerberos,0.47474023360502027,True,normal
sess-0038,jonathanfletcher,dev-45,10.100.225.201,36.122.115.106,Yemen,Papua New Guinea,2025-09-17T17:47:27,2025-09-17T18:18:02,1835,475719,539330,293.9128065395095,0,76.2559321245126,1,3.328543197141762,0,0,37157.88272962984,2,password,0.9441906667489564,True,normal
sess-0039,elizabeth14,dev-28,192.168.209.24,50.236.3.200,Micronesia,Brunei Darussalam,2025-09-05T18:43:41,2025-09-05T19:05:54,1333,914371,1127686,845.9759939984996,0,538.1357136915067,1,3.5205429099228693,0,0,52884.954446028845,1,password,0.8553126340778916,True,normal
sess-0040,yortega,dev-22,192.168.89.26,147.66.195.70,Iraq,Mexico,2025-08-30T01:31:37,2025-08-30T02:04:08,1951,265646,229295,117.5269092772937,0,183.0648619631598,0,3.1326610193690985,0,0,27359.31591839002,3,password,0.6528719828133931,True,normal
sess-0041,justin69,dev-18,192.168.238.18,22.214.164.83,Malawi,Lebanon,2025-08-20T18:29:24,2025-08-20T18:45:16,952,90355,76613,80.47584033613445,1,4154.378091969175,2,5.126067522346167,0,0,39004.38778398981,2,kerberos,0.9266231645211845,True,normal
sess-0042,campbellelizabeth,dev-10,192.168.120.64,142.96.131.63,Sri Lanka,Congo,2025-08-28T23:43:19,2025-08-29T00:14:19,1860,88596,86717,46.62204301075269,1,473.5027763292894,0,3.6844281503440364,1,0,45879.185925267346,1,mfa,0.80778629164922,True,normal
sess-0043,williamstracey,dev-14,192.168.37.73,22.56.208.61,Saint Barthelemy,Qatar,2025-08-27T21:41:49,2025-08-27T21:48:07,378,325272,312383,826.4100529100529,0,1009.9553421827858,0,4.7783635823247455,0,0,41782.17653528511,4,password,0.8889090344450524,True,normal
sess-0044,jross,dev-49,192.168.54.146,183.0.191.32,Christmas Island,Spain,2025-09-08T09:23:04,2025-09-08T09:54:17,1873,1176502,1396211,745.4410037373198,0,2667.8218961231723,1,5.174136693018731,0,1,59322.44098545607,2,password,0.9248553950465402,False,normal
sess-0045,pwilliams,dev-22,10.237.229.183,148.78.156.20,Zambia,Saudi Arabia,2025-09-14T21:28:54,2025-09-14T21:56:38,1664,1064776,1001188,601.6754807692307,1,588.266527826166,1,7.938340039983235,1,0,129679.17787376278,1,mfa,0.9383957552757317,False,normal
sess-0046,jrivas,dev-7,172.31.48.136,23.233.99.78,Tajikistan,Northern Mariana Islands,2025-09-11T05:39:09,2025-09-11T06:19:40,2431,486839,425255,174.93006993006992,1,3615.9437647762497,0,5.981349392410265,0,0,4003.7671652191375,3,password,0.9100549953468257,False,normal
